Detector Type,No. of Keypoints on Preceding Vehicle,Image
SHITOMASI,125,0000.png
SHITOMASI,118,0001.png
SHITOMASI,123,0002.png
SHITOMASI,120,0003.png
SHITOMASI,120,0004.png
SHITOMASI,113,0005.png
SHITOMASI,114,0006.png
SHITOMASI,123,0007.png
SHITOMASI,111,0008.png
SHITOMASI,112,0009.png
HARRIS,17,0000.png
HARRIS,14,0001.png
HARRIS,18,0002.png
HARRIS,21,0003.png
HARRIS,26,0004.png
HARRIS,43,0005.png
HARRIS,18,0006.png
HARRIS,31,0007.png
HARRIS,26,0008.png
HARRIS,34,0009.png
FAST,149,0000.png
FAST,152,0001.png
FAST,150,0002.png
FAST,155,0003.png
FAST,149,0004.png
FAST,149,0005.png
FAST,156,0006.png
FAST,150,0007.png
FAST,138,0008.png
FAST,143,0009.png
BRISK,264,0000.png
BRISK,282,0001.png
BRISK,282,0002.png
BRISK,277,0003.png
BRISK,297,0004.png
BRISK,279,0005.png
BRISK,289,0006.png
BRISK,272,0007.png
BRISK,266,0008.png
BRISK,254,0009.png
ORB,92,0000.png
ORB,102,0001.png
ORB,106,0002.png
ORB,113,0003.png
ORB,109,0004.png
ORB,125,0005.png
ORB,130,0006.png
ORB,129,0007.png
ORB,127,0008.png
ORB,128,0009.png
AKAZE,166,0000.png
AKAZE,157,0001.png
AKAZE,161,0002.png
AKAZE,155,0003.png
AKAZE,163,0004.png
AKAZE,164,0005.png
AKAZE,173,0006.png
AKAZE,175,0007.png
AKAZE,177,0008.png
AKAZE,179,0009.png
SIFT,138,0000.png
SIFT,132,0001.png
SIFT,124,0002.png
SIFT,137,0003.png
SIFT,134,0004.png
SIFT,140,0005.png
SIFT,137,0006.png
SIFT,148,0007.png
SIFT,159,0008.png
SIFT,137,0009.png
