Detector Type,Descriptor Type,Execution Time,Image
SHITOMASI,BRISK,2242.46,0000.png
SHITOMASI,BRISK,2089.09,0001.png
SHITOMASI,BRISK,2087.51,0002.png
SHITOMASI,BRISK,2084.52,0003.png
SHITOMASI,BRISK,2089.77,0004.png
SHITOMASI,BRISK,2080.37,0005.png
SHITOMASI,BRISK,2081.78,0006.png
SHITOMASI,BRISK,2082.58,0007.png
SHITOMASI,BRISK,2088.88,0008.png
SHITOMASI,BRISK,2101.85,0009.png
sum/avg,,21028.81,2102.88
SHITOMASI,BRIEF,154.932,0000.png
SHITOMASI,BRIEF,117.048,0001.png
SHITOMASI,BRIEF,120.615,0002.png
SHITOMASI,BRIEF,120.197,0003.png
SHITOMASI,BRIEF,117.977,0004.png
SHITOMASI,BRIEF,117.109,0005.png
SHITOMASI,BRIEF,117.008,0006.png
SHITOMASI,BRIEF,117.003,0007.png
SHITOMASI,BRIEF,119.381,0008.png
SHITOMASI,BRIEF,118.591,0009.png
sum/avg,,1219.861,121.99
SHITOMASI,ORB,203.932,0000.png
SHITOMASI,ORB,169.05,0001.png
SHITOMASI,ORB,168.948,0002.png
SHITOMASI,ORB,168.05,0003.png
SHITOMASI,ORB,169.119,0004.png
SHITOMASI,ORB,166.849,0005.png
SHITOMASI,ORB,168.349,0006.png
SHITOMASI,ORB,169.875,0007.png
SHITOMASI,ORB,167.202,0008.png
SHITOMASI,ORB,167.754,0009.png
sum/avg,,1719.128,171.91
SHITOMASI,FREAK,422.236,0000.png
SHITOMASI,FREAK,375.814,0001.png
SHITOMASI,FREAK,373.264,0002.png
SHITOMASI,FREAK,374.47,0003.png
SHITOMASI,FREAK,371.282,0004.png
SHITOMASI,FREAK,371.628,0005.png
SHITOMASI,FREAK,370.207,0006.png
SHITOMASI,FREAK,370.86,0007.png
SHITOMASI,FREAK,372.437,0008.png
SHITOMASI,FREAK,370.068,0009.png
sum/avg,,3772.266,377.23
SHITOMASI,SIFT,911.577,0000.png
SHITOMASI,SIFT,854.489,0001.png
