Detector Type,Descriptor Type,Image,TTC Lidar,TTC Camera,TTC Absolute Difference
SHITOMASI,BRISK,0001.png,12.2891,13.3689,1.07979
SHITOMASI,BRISK,0002.png,13.3547,12.3219,1.03282
SHITOMASI,BRISK,0003.png,16.3845,11.712,4.67244
SHITOMASI,BRISK,0004.png,14.0764,12.5963,1.48012
SHITOMASI,BRISK,0005.png,12.7299,12.3342,0.395782
SHITOMASI,BRISK,0006.png,13.7511,13.7449,0.00621431
SHITOMASI,BRISK,0007.png,13.7314,12.9727,0.758743
SHITOMASI,BRISK,0008.png,13.7901,13.2285,0.561607
SHITOMASI,BRISK,0009.png,12.059,11.4276,0.631434
SHITOMASI,BRISK,0010.png,11.8642,12.6612,0.796972
SHITOMASI,BRISK,0011.png,11.9682,11.3567,0.611535
SHITOMASI,BRISK,0012.png,9.88711,11.6524,1.76529
SHITOMASI,BRISK,0013.png,9.42504,12.4211,2.99605
SHITOMASI,BRISK,0014.png,9.30215,11.8781,2.57597
SHITOMASI,BRISK,0015.png,8.3212,9.30722,0.986018
SHITOMASI,BRISK,0016.png,8.89867,10.68,1.78136
SHITOMASI,BRISK,0017.png,11.0301,11.3018,0.271684
SHITOMASI,BRISK,0018.png,8.53557,8.42054,0.11503
SHITOMASI,BRIEF,0001.png,12.2891,13.6535,1.36445
SHITOMASI,BRIEF,0002.png,13.3547,13.0384,0.31636
SHITOMASI,BRIEF,0003.png,16.3845,11.0189,5.36557
SHITOMASI,BRIEF,0004.png,14.0764,13.0851,0.991342
SHITOMASI,BRIEF,0005.png,12.7299,12.5187,0.211212
SHITOMASI,BRIEF,0006.png,13.7511,13.0553,0.695731
SHITOMASI,BRIEF,0007.png,13.7314,14.7601,1.02862
SHITOMASI,BRIEF,0008.png,13.7901,11.7556,2.03456
SHITOMASI,BRIEF,0009.png,12.059,11.4926,0.566373
SHITOMASI,BRIEF,0010.png,11.8642,12.7779,0.913683
SHITOMASI,BRIEF,0011.png,11.9682,11.7611,0.207097
SHITOMASI,BRIEF,0012.png,9.88711,11.3869,1.49979
SHITOMASI,BRIEF,0013.png,9.42504,12,2.57498
SHITOMASI,BRIEF,0014.png,9.30215,11.1095,1.80732
SHITOMASI,BRIEF,0015.png,8.3212,10.6503,2.32915
SHITOMASI,BRIEF,0016.png,8.89867,12.1848,3.28618
SHITOMASI,BRIEF,0017.png,11.0301,10.4345,0.595663
SHITOMASI,BRIEF,0018.png,8.53557,9.47889,0.943319
SHITOMASI,ORB,0001.png,12.2891,13.5833,1.29415
SHITOMASI,ORB,0002.png,13.3547,12.8364,0.518335
SHITOMASI,ORB,0003.png,16.3845,12.8187,3.56572
SHITOMASI,ORB,0004.png,14.0764,12.2995,1.77699
SHITOMASI,ORB,0005.png,12.7299,12.0008,0.729115
SHITOMASI,ORB,0006.png,13.7511,13.395,0.356032
SHITOMASI,ORB,0007.png,13.7314,13.5704,0.161016
SHITOMASI,ORB,0008.png,13.7901,11.7678,2.02228
SHITOMASI,ORB,0009.png,12.059,11.3526,0.706436
SHITOMASI,ORB,0010.png,11.8642,14.4041,2.53989
SHITOMASI,ORB,0011.png,11.9682,11.6064,0.361776
SHITOMASI,ORB,0012.png,9.88711,12.1694,2.2823
SHITOMASI,ORB,0013.png,9.42504,12.2756,2.85061
SHITOMASI,ORB,0014.png,9.30215,11.4231,2.12091
SHITOMASI,ORB,0015.png,8.3212,10.2592,1.93798
SHITOMASI,ORB,0016.png,8.89867,11.7152,2.8165
SHITOMASI,ORB,0017.png,11.0301,11.5895,0.55937
SHITOMASI,ORB,0018.png,8.53557,8.03794,0.49763
SHITOMASI,FREAK,0001.png,12.2891,13.9352,1.64612
SHITOMASI,FREAK,0002.png,13.3547,12.186,1.16868
SHITOMASI,FREAK,0003.png,16.3845,11.0964,5.28804
SHITOMASI,FREAK,0004.png,14.0764,13.6756,0.400821
SHITOMASI,FREAK,0005.png,12.7299,12.2185,0.511425
SHITOMASI,FREAK,0006.png,13.7511,14.5777,0.82667
SHITOMASI,FREAK,0007.png,13.7314,12.4947,1.23673
SHITOMASI,FREAK,0008.png,13.7901,11.7643,2.02586
SHITOMASI,FREAK,0009.png,12.059,11.8382,0.220822
SHITOMASI,FREAK,0010.png,11.8642,12.5766,0.712459
SHITOMASI,FREAK,0011.png,11.9682,12.0008,0.0326328
SHITOMASI,FREAK,0012.png,9.88711,11.8227,1.9356
SHITOMASI,FREAK,0013.png,9.42504,12.5802,3.15518
SHITOMASI,FREAK,0014.png,9.30215,12.2294,2.92724
SHITOMASI,FREAK,0015.png,8.3212,10.2122,1.89098
SHITOMASI,FREAK,0016.png,8.89867,10.5507,1.65204
SHITOMASI,FREAK,0017.png,11.0301,11.5139,0.483739
SHITOMASI,FREAK,0018.png,8.53557,7.36269,1.17288
SHITOMASI,SIFT,0001.png,12.2891,13.0523,0.763225
SHITOMASI,SIFT,0002.png,13.3547,12.8903,0.464432
SHITOMASI,SIFT,0003.png,16.3845,11.7686,4.61581
SHITOMASI,SIFT,0004.png,14.0764,12.7506,1.32587
SHITOMASI,SIFT,0005.png,12.7299,12.8167,0.0867315
SHITOMASI,SIFT,0006.png,13.7511,12.3506,1.40048
SHITOMASI,SIFT,0007.png,13.7314,12.5885,1.14288
SHITOMASI,SIFT,0008.png,13.7901,12.5638,1.2263
SHITOMASI,SIFT,0009.png,12.059,11.4727,0.586304
SHITOMASI,SIFT,0010.png,11.8642,13.2068,1.34261
SHITOMASI,SIFT,0011.png,11.9682,12.2943,0.326142
SHITOMASI,SIFT,0012.png,9.88711,12.0972,2.21008
SHITOMASI,SIFT,0013.png,9.42504,12.6147,3.18971
SHITOMASI,SIFT,0014.png,9.30215,11.3592,2.05705
SHITOMASI,SIFT,0015.png,8.3212,10.4078,2.08664
SHITOMASI,SIFT,0016.png,8.89867,11.0235,2.12481
SHITOMASI,SIFT,0017.png,11.0301,11.7341,0.703953
SHITOMASI,SIFT,0018.png,8.53557,9.65154,1.11598
HARRIS,BRISK,0001.png,12.2891,10.9082,1.38088
HARRIS,BRISK,0002.png,13.3547,10.586,2.76873
HARRIS,BRISK,0003.png,16.3845,-80.8525,97.237
HARRIS,BRISK,0004.png,14.0764,12.4858,1.59067
HARRIS,BRISK,0005.png,12.7299,13.3698,0.639868
HARRIS,BRISK,0006.png,13.7511,13.6217,0.129369
HARRIS,BRISK,0007.png,13.7314,12.2792,1.4522
HARRIS,BRISK,0008.png,13.7901,10.7335,3.05664
HARRIS,BRISK,0009.png,12.059,0,12.059
HARRIS,BRISK,0010.png,11.8642,-inf,inf
HARRIS,BRISK,0011.png,11.9682,11.7414,0.226767
HARRIS,BRISK,0012.png,9.88711,5.33701,4.5501
HARRIS,BRISK,0013.png,9.42504,13.4095,3.98446
HARRIS,BRISK,0014.png,9.30215,12.4394,3.13721
HARRIS,BRISK,0015.png,8.3212,-inf,inf
HARRIS,BRISK,0016.png,8.89867,6.33028,2.56839
HARRIS,BRISK,0017.png,11.0301,0,11.0301
HARRIS,BRISK,0018.png,8.53557,-inf,inf
HARRIS,BRIEF,0001.png,12.2891,8.81335,3.47575
HARRIS,BRIEF,0002.png,13.3547,11.0081,2.34658
HARRIS,BRIEF,0003.png,16.3845,-11.4731,27.8576
HARRIS,BRIEF,0004.png,14.0764,12.629,1.44746
HARRIS,BRIEF,0005.png,12.7299,12.8795,0.149571
HARRIS,BRIEF,0006.png,13.7511,12.9945,0.756585
HARRIS,BRIEF,0007.png,13.7314,12.2,1.53143
HARRIS,BRIEF,0008.png,13.7901,12.9162,0.873915
HARRIS,BRIEF,0009.png,12.059,3.30058,8.75841
HARRIS,BRIEF,0010.png,11.8642,10.2931,1.57108
HARRIS,BRIEF,0011.png,11.9682,11.7414,0.226767
HARRIS,BRIEF,0012.png,9.88711,0,9.88711
HARRIS,BRIEF,0013.png,9.42504,13.3551,3.93001
HARRIS,BRIEF,0014.png,9.30215,7.72144,1.5807
HARRIS,BRIEF,0015.png,8.3212,-12.639,20.9602
HARRIS,BRIEF,0016.png,8.89867,6.33929,2.55938
HARRIS,BRIEF,0017.png,11.0301,12.5848,1.55473
HARRIS,BRIEF,0018.png,8.53557,25.6763,17.1407
HARRIS,ORB,0001.png,12.2891,10.9082,1.38088
HARRIS,ORB,0002.png,13.3547,10.586,2.76873
HARRIS,ORB,0003.png,16.3845,-11.4731,27.8576
HARRIS,ORB,0004.png,14.0764,12.629,1.44746
HARRIS,ORB,0005.png,12.7299,36.3547,23.6247
HARRIS,ORB,0006.png,13.7511,12.9945,0.756585
HARRIS,ORB,0007.png,13.7314,13.6036,0.127808
HARRIS,ORB,0008.png,13.7901,12.9162,0.873915
HARRIS,ORB,0009.png,12.059,0,12.059
HARRIS,ORB,0010.png,11.8642,-inf,inf
HARRIS,ORB,0011.png,11.9682,11.7414,0.226767
HARRIS,ORB,0012.png,9.88711,23.9071,14.02
HARRIS,ORB,0013.png,9.42504,13.4095,3.98446
HARRIS,ORB,0014.png,9.30215,5.85828,3.44387
HARRIS,ORB,0015.png,8.3212,-11.5218,19.843
HARRIS,ORB,0016.png,8.89867,6.65726,2.24141
HARRIS,ORB,0017.png,11.0301,12.5848,1.55473
